ID,score
0,30.238623
1,47.746128
2,80.34185
3,60.23644
4,51.684708
5,37.561832
6,64.68756
7,56.538548
8,45.667953
9,32.81961
10,51.47054
11,49.727043
12,28.879686
13,50.631744
14,29.966616
15,50.186356
16,43.41906
17,39.096317
18,49.69747
19,42.818283
20,37.30767
21,37.101337
22,52.737476
23,33.493774
24,55.114986
25,29.304955
26,41.473984
27,39.49358
28,56.51291
29,46.391323
30,34.70715
31,36.651154
32,61.88685
33,43.669548
34,58.26683
35,35.926083
36,31.88461
37,34.594643
38,48.57773
39,39.70317
40,42.862152
41,46.89943
42,28.293365
43,57.764908
44,48.113316
45,51.55818
46,38.27856
47,42.015114
48,35.049557
49,28.79694
50,49.565914
51,48.674644
52,49.83057
53,25.771708
54,26.243443
55,56.554005
56,61.57826
57,41.04792
58,48.420044
59,37.991188
60,47.678936
61,36.955585
62,37.433968
63,40.512337
64,42.925835
65,48.624397
66,44.23748
67,35.95065
68,49.240173
69,52.81023
70,49.58987
71,41.758507
72,66.476814
73,36.07073
74,26.75739
75,43.085983
76,41.044514
77,48.925297
78,52.14648
79,41.203854
80,40.192375
81,43.6403
82,63.624084
83,48.969032
84,39.71951
85,56.253517
86,36.9069
87,55.076504
88,44.118355
89,37.727165
90,27.995312
91,54.656284
92,19.39503
93,31.861225
94,28.408834
95,44.434483
96,46.72793
97,37.12427
98,43.071583
99,51.918606
100,64.30071
101,46.819927
102,46.66953
103,43.284218
104,44.681004
105,46.590206
106,38.552597
107,35.74217
108,42.958263
109,35.078625
110,25.51657
111,36.63835
112,40.318275
113,42.380035
114,43.004772
115,31.292658
116,33.05376
117,46.70099
118,39.596024
119,37.22519
120,36.962147
121,49.45024
122,42.447556
123,29.10063
124,49.74091
125,64.34065
126,64.53742
127,37.809032
128,31.981785
129,36.73629
130,43.739902
131,39.79683
132,51.685146
133,38.565495
134,31.521471
135,43.59658
136,47.84203
137,52.050682
138,39.441807
139,42.066254
140,50.207382
141,41.8637
142,48.84604
143,45.60298
144,38.422703
145,31.546583
146,51.308743
147,37.055386
148,39.5733
149,49.419804
150,37.209904
151,52.162827
152,31.836473
153,34.05523
154,39.367126
155,34.14345
156,29.351658
157,32.571983
158,44.16857
159,41.71118
160,33.902264
161,54.463955
162,37.352924
163,43.403526
164,58.050053
165,47.188934
166,41.201958
167,46.41452
168,28.998741
169,45.89677
170,27.43388
171,32.14068
172,50.40181
173,63.996525
174,46.90281
175,59.56959
176,47.64077
177,37.369595
178,36.450222
179,39.70545
180,54.53617
181,49.861115
182,38.481625
183,41.678276
184,58.500618
185,34.464977
186,36.174458
187,59.216972
188,45.046104
189,31.383284
190,62.53078
191,41.4375
192,51.337708
193,39.960545
194,57.48792
195,39.54328
196,35.064163
197,34.915306
198,49.135845
199,45.4156
200,55.461132
201,55.927055
202,45.08565
203,74.703766
204,54.93894
205,34.13667
206,45.133423
207,43.118584
208,40.596634
209,42.83054
210,62.9738
211,48.987114
212,55.3629
213,46.35956
214,39.99537
215,48.96195
216,32.16592
217,34.13324
218,44.025917
219,34.65018
220,30.741615
221,53.49591
222,40.389717
223,67.15869
224,56.139473
225,52.68002
226,61.403667
227,49.632217
228,53.29743
229,53.531113
230,60.694477
231,40.723824
232,57.815247
233,57.658108
234,33.94424
235,42.554974
236,35.396328
237,45.99453
238,49.692413
239,38.971516
240,29.136139
241,43.721996
242,41.556644
243,44.963177
244,70.33478
245,34.90897
246,46.772903
247,49.878765
248,37.24761
249,29.94164
250,63.84622
251,44.88755
252,45.115105
253,34.96404
254,29.907684
255,44.670788
256,49.54692
257,32.692055
258,51.00517
259,26.958405
260,26.636755
261,42.791927
262,49.102333
263,56.31348
264,47.601105
265,29.310295
266,47.36119
267,44.050076
268,39.40987
269,30.372772
270,47.258015
271,44.477287
272,32.21863
273,25.673882
274,50.528046
275,46.667717
276,43.020393
277,42.737892
278,46.429955
279,39.19481
280,45.275776
281,56.853413
282,45.31941
283,26.084335
284,38.409702
285,43.33456
286,52.506516
287,37.209183
288,43.92345
289,38.78342
290,38.26411
291,54.31806
292,63.34476
293,40.088478
294,45.2245
295,63.22473
296,56.00049
297,62.803574
298,53.21999
299,33.486404
300,49.380486
301,41.321175
302,53.515244
303,57.35356
304,35.66697
305,45.449722
306,41.147232
307,34.49568
308,26.583511
309,46.686283
310,32.6755
311,51.16638
312,46.54982
313,41.08162
314,35.954815
315,34.15044
316,51.44355
317,59.764923
318,50.627502
319,43.524605
320,39.89376
321,54.832375
322,41.06242
323,35.2103
324,48.131435
325,59.385773
326,49.11678
327,50.844257
328,47.853573
329,37.556606
330,40.6349
331,45.073635
332,50.042732
333,43.638996
334,36.20385
335,21.720835
336,32.247517
337,37.245865
338,40.127125
339,49.352486
340,30.011436
341,56.181835
342,40.558434
343,51.84443
344,42.526382
345,44.805267
346,43.670612
347,37.39466
348,38.865547
349,45.90115
350,35.33142
351,45.549908
352,36.806248
353,39.807182
354,31.77547
355,40.951756
356,42.00501
357,50.80023
358,33.39374
359,30.737
360,28.288382
361,31.55958
362,35.36003
363,44.06791
364,48.38793
365,42.96715
366,49.499172
367,64.92333
368,40.404045
369,30.148296
370,46.226257
371,43.771507
372,29.22506
373,58.94343
374,41.69599
375,43.09948
376,36.585857
377,34.539486
378,59.377327
379,43.99059
380,31.986279
381,39.156727
382,43.994987
383,35.7792
384,65.38722
385,49.868042
386,44.69442
387,37.670765
388,55.22633
389,34.233986
390,40.09525
391,51.136604
392,32.097057
393,52.46342
394,37.680023
395,48.73266
396,47.34311
397,44.60302
398,28.88259
399,35.096355
400,41.347897
401,53.2239
402,38.4326
403,48.56226
404,52.518463
405,55.56314
406,64.74379
407,49.024822
408,35.048534
409,45.572517
410,48.663635
411,31.209312
412,44.427322
413,22.6933
414,46.5299
415,30.72075
416,30.82149
417,38.5344
418,45.93446
419,27.619192
420,40.504574
421,40.537846
422,45.76137
423,61.324657
424,32.157116
425,48.3367
426,28.86684
427,38.87253
428,50.34083
429,42.55707
430,37.93208
431,32.216343
432,57.640568
433,42.336365
434,34.288452
435,44.00727
436,29.355154
437,38.23778
438,55.60482
439,31.034668
440,31.78725
441,52.759983
442,45.52615
443,46.16849
444,32.775776
445,44.596516
446,49.79808
447,54.190483
448,58.851185
449,40.132828
450,41.415726
451,36.340614
452,56.151623
453,47.90395
454,56.333702
455,45.303394
456,31.353792
457,59.54065
458,73.3771
459,46.82817
460,36.81747
461,34.930523
462,47.64522
463,41.4561
