id,tested_positive
0,8.480181
1,9.294013
2,5.165312
3,9.187697
4,16.526318
5,14.203561
6,10.298903
7,14.217407
8,13.257965
9,10.823239
10,6.8304076
11,9.658551
12,9.493875
13,17.01995
14,11.905771
15,6.631779
16,9.362747
17,5.573138
18,8.126074
19,9.836039
20,19.890734
21,6.0340953
22,9.650326
23,10.366965
24,13.598999
25,18.420214
26,22.099129
27,8.710988
28,7.156632
29,15.261351
30,14.019521
31,3.8459005
32,11.852179
33,9.209768
34,8.897986
35,6.444983
36,13.433541
37,16.79147
38,9.599837
39,13.902067
40,15.054592
41,25.073162
42,5.6160183
43,11.007208
44,23.99274
45,22.062475
46,17.428114
47,5.4907427
48,10.92215
49,5.9638305
50,4.37824
51,8.225819
52,14.215448
53,16.357508
54,16.816889
55,19.260527
56,16.849194
57,10.876362
58,25.167154
59,8.404174
60,18.063393
61,19.18793
62,12.13086
63,17.160456
64,20.39541
65,12.977281
66,10.604239
67,6.219877
68,6.8344646
69,15.9639015
70,22.165277
71,18.696705
72,5.917474
73,11.419074
74,17.729256
75,14.24518
76,16.411499
77,12.734399
78,10.107688
79,16.576178
80,23.013817
81,6.0676985
82,23.060284
83,17.176182
84,22.95373
85,9.562068
86,9.582386
87,15.523504
88,26.685024
89,5.312931
90,15.331751
91,15.181869
92,19.126081
93,21.053862
94,21.175142
95,10.860525
96,30.811123
97,8.185753
98,20.271404
99,18.726784
100,18.726698
101,17.742119
102,8.818967
103,16.676922
104,19.186628
105,12.536764
106,18.311333
107,18.861294
108,7.0532365
109,20.641674
110,22.531382
111,18.541555
112,22.963512
113,21.700895
114,11.600263
115,6.9793496
116,19.462074
117,10.753382
118,22.611727
119,17.217873
120,21.768616
121,7.2186756
122,11.882554
123,11.653634
124,19.298058
125,9.213043
126,12.049875
127,15.060671
128,15.630351
129,9.593617
130,16.28839
131,6.315177
132,9.053032
133,6.125164
134,12.672806
135,18.835623
136,18.050331
137,21.415398
138,5.763856
139,12.670115
140,11.796911
141,9.200581
142,11.212509
143,9.518621
144,23.399675
145,8.945288
146,11.625002
147,16.428278
148,23.9692
149,15.876535
150,11.937408
151,17.206942
152,10.832666
153,9.369162
154,21.28002
155,13.854073
156,13.362022
157,25.522577
158,21.923347
159,17.374792
160,12.586435
161,16.77385
162,9.943104
163,19.424816
164,9.449497
165,22.164997
166,11.375331
167,15.875537
168,10.946861
169,6.0145297
170,12.748523
171,13.735636
172,11.828404
173,12.65988
174,22.779966
175,6.0145917
176,5.713048
177,22.055338
178,13.233261
179,12.54144
180,19.986893
181,17.88801
182,8.947785
183,11.21513
184,12.173858
185,12.005755
186,13.811062
187,20.976963
188,7.2932677
189,10.005579
190,6.6763334
191,5.549015
192,19.532835
193,9.710165
194,9.565182
195,18.290337
196,18.525593
197,16.26254
198,6.6368327
199,20.499592
200,6.67632
201,12.057129
202,21.886242
203,19.892097
204,18.562473
205,9.080824
206,10.020091
207,7.8145266
208,11.490411
209,20.041277
210,9.751192
211,13.644432
212,19.115725
213,5.488441
214,15.758959
215,16.832994
216,16.437109
217,10.847967
218,20.324783
219,9.2460575
220,6.5251427
221,9.785791
222,14.104566
223,20.506197
224,15.966831
225,9.45776
226,5.0248904
227,14.91795
228,15.987143
229,12.217252
230,14.938824
231,5.9812346
232,11.134329
233,19.550497
234,14.874692
235,6.7980304
236,10.120484
237,17.125193
238,10.823457
239,16.46699
240,19.61752
241,15.217278
242,23.13713
243,16.5932
244,9.39453
245,6.315202
246,19.218534
247,9.408151
248,21.565834
249,18.397007
250,18.670187
251,13.7739
252,16.915232
253,17.84051
254,14.211265
255,10.694937
256,20.938818
257,12.1955
258,14.158328
259,17.0737
260,16.209614
261,22.043695
262,11.673237
263,11.000636
264,16.432703
265,13.37142
266,15.2118845
267,8.368142
268,11.061678
269,17.860605
270,11.602954
271,12.229832
272,18.158339
273,9.311461
274,16.719622
275,5.8338084
276,15.514981
277,8.52883
278,15.52909
279,8.9444275
280,16.756989
281,11.658914
282,13.032282
283,12.984562
284,7.044292
285,14.868276
286,6.813572
287,17.565676
288,10.479142
289,14.245434
290,17.10722
291,10.422542
292,16.31054
293,15.093724
294,15.49648
295,17.296715
296,17.656736
297,12.769025
298,9.471237
299,12.041283
300,17.773052
301,14.166961
302,18.747175
